price,sqft_living,sqft_above,bathrooms,view,sqft_basement,condition
313000.0,1340.0,1340.0,1.5,0.0,0.0,3.0
342000.0,1930.0,1930.0,2.0,0.0,0.0,3.0
420000.0,2000.0,1000.0,2.25,0.0,1000.0,3.0
550000.0,1940.0,1140.0,2.5,0.0,800.0,4.0
490000.0,880.0,880.0,1.0,0.0,0.0,2.0
335000.0,1350.0,1350.0,2.0,0.0,0.0,2.0
482000.0,2710.0,2710.0,2.5,0.0,0.0,4.0
452500.0,2430.0,1570.0,2.5,0.0,860.0,3.0
640000.0,1520.0,1520.0,2.0,0.0,0.0,4.0
463000.0,1710.0,1710.0,1.75,0.0,0.0,3.0
588500.0,2330.0,1970.0,1.75,0.0,360.0,3.0
365000.0,1090.0,1090.0,1.0,0.0,0.0,3.0
242500.0,1200.0,1200.0,1.5,0.0,0.0,3.0
419000.0,1570.0,1570.0,1.5,0.0,0.0,3.0
367500.0,3110.0,3110.0,3.0,0.0,0.0,4.0
257950.0,1370.0,1370.0,1.75,0.0,0.0,3.0
275000.0,1180.0,1180.0,1.5,0.0,0.0,3.0
750000.0,2240.0,1550.0,1.75,0.0,690.0,3.0
435000.0,1450.0,1450.0,1.0,0.0,0.0,4.0
626000.0,1750.0,1470.0,2.25,0.0,280.0,3.0
612500.0,2730.0,2730.0,2.5,0.0,0.0,4.0
495000.0,1600.0,1130.0,1.75,0.0,470.0,4.0
285000.0,2090.0,1360.0,2.5,0.0,730.0,3.0
615000.0,2360.0,1360.0,1.75,0.0,1000.0,3.0
698000.0,2200.0,1300.0,2.25,0.0,900.0,4.0
675000.0,2820.0,2820.0,2.5,0.0,0.0,5.0
790000.0,2600.0,1700.0,2.5,0.0,900.0,3.0
382500.0,1560.0,1560.0,1.75,0.0,0.0,4.0
499950.0,2860.0,2190.0,2.5,0.0,670.0,4.0
650000.0,1820.0,1640.0,2.0,1.0,180.0,4.0
625000.0,2820.0,2820.0,2.5,0.0,0.0,4.0
400000.0,3630.0,2300.0,2.5,0.0,1330.0,4.0
604000.0,3240.0,3240.0,2.5,2.0,0.0,3.0
440000.0,800.0,800.0,1.0,0.0,0.0,2.0
287200.0,1850.0,1090.0,3.0,0.0,760.0,3.0
403000.0,1960.0,1650.0,2.0,2.0,310.0,3.0
750000.0,2390.0,1440.0,2.5,2.0,950.0,3.0
335000.0,1580.0,1580.0,2.25,0.0,0.0,3.0
260000.0,1480.0,1480.0,2.0,0.0,0.0,4.0
308500.0,850.0,850.0,1.0,0.0,0.0,2.0
439950.0,1770.0,1770.0,2.5,0.0,0.0,3.0
235000.0,1210.0,1210.0,1.0,0.0,0.0,2.0
315000.0,1160.0,1160.0,1.0,0.0,0.0,3.0
437500.0,1970.0,1970.0,2.25,0.0,0.0,3.0
407500.0,1930.0,1930.0,2.5,0.0,0.0,3.0
445700.0,1270.0,1270.0,2.5,0.0,0.0,3.0
838000.0,3310.0,3310.0,2.5,0.0,0.0,4.0
630000.0,2710.0,2710.0,2.75,0.0,0.0,4.0
550000.0,2910.0,2910.0,1.75,0.0,0.0,3.0
805000.0,2710.0,1880.0,2.0,0.0,830.0,3.0
284000.0,1800.0,1800.0,1.75,0.0,0.0,3.0
470000.0,2210.0,1460.0,2.5,0.0,750.0,5.0
430000.0,1920.0,1070.0,1.5,0.0,850.0,4.0
491500.0,2190.0,2190.0,1.75,2.0,0.0,4.0
785000.0,3660.0,3660.0,3.25,2.0,0.0,5.0
385000.0,1320.0,1040.0,3.25,0.0,280.0,3.0
295000.0,1630.0,1280.0,2.5,0.0,350.0,2.0
555000.0,3310.0,3310.0,2.5,0.0,0.0,4.0
459990.0,2680.0,2680.0,2.5,0.0,0.0,3.0
625000.0,2730.0,1560.0,3.25,0.0,1170.0,4.0
300000.0,2540.0,2540.0,2.5,0.0,0.0,3.0
625000.0,2920.0,2920.0,2.75,0.0,0.0,4.0
553000.0,900.0,900.0,1.0,0.0,0.0,2.0
379880.0,1650.0,1130.0,2.5,0.0,520.0,3.0
310000.0,1010.0,1010.0,1.0,0.0,0.0,3.0
775000.0,2680.0,2680.0,2.5,0.0,0.0,2.0
365000.0,2200.0,1570.0,2.5,0.0,630.0,3.0
331950.0,2530.0,2010.0,2.5,2.0,520.0,4.0
783500.0,2850.0,1990.0,2.5,0.0,860.0,3.0
628000.0,2280.0,1140.0,2.0,0.0,1140.0,4.0
560000.0,1900.0,1900.0,2.5,0.0,0.0,3.0
900000.0,1330.0,1330.0,1.0,0.0,0.0,3.0
531000.0,1270.0,1110.0,3.0,0.0,160.0,2.0
831000.0,2170.0,1610.0,3.0,0.0,560.0,4.0
780000.0,2730.0,2730.0,2.5,2.0,0.0,4.0
755000.0,2120.0,1620.0,2.5,0.0,500.0,4.0
705380.0,2490.0,2490.0,2.5,0.0,0.0,3.0
627000.0,1990.0,1210.0,2.25,0.0,780.0,4.0
865000.0,3690.0,3690.0,3.0,0.0,0.0,4.0
580000.0,2540.0,1320.0,1.0,0.0,1220.0,2.0
410000.0,1800.0,1360.0,2.25,0.0,440.0,3.0
485000.0,2340.0,1340.0,3.0,0.0,1000.0,4.0
400000.0,2110.0,2110.0,1.75,0.0,0.0,2.0
549000.0,1140.0,1140.0,1.0,0.0,0.0,2.0
620000.0,1480.0,1480.0,1.75,0.0,0.0,3.0
405000.0,1410.0,1140.0,3.0,0.0,270.0,2.0
232000.0,1200.0,1200.0,1.0,0.0,0.0,2.0
800866.0,3180.0,3180.0,2.5,0.0,0.0,5.0
650000.0,2160.0,1400.0,1.5,2.0,760.0,3.0
823000.0,2920.0,2780.0,1.75,0.0,140.0,6.0
770000.0,2350.0,1810.0,2.0,0.0,540.0,3.0
524000.0,1560.0,780.0,1.75,0.0,780.0,3.0
541125.0,2740.0,1370.0,2.75,0.0,1370.0,5.0
670000.0,1680.0,1680.0,2.5,0.0,0.0,3.0
384900.0,3090.0,1750.0,2.5,0.0,1340.0,5.0
406100.0,1410.0,1410.0,2.25,0.0,0.0,3.0
736500.0,3180.0,3180.0,2.5,3.0,0.0,4.0
570000.0,2010.0,1330.0,2.25,0.0,680.0,3.0
787000.0,1330.0,1330.0,1.75,0.0,0.0,3.0
328000.0,2370.0,2370.0,2.5,0.0,0.0,4.0
435000.0,1840.0,1540.0,2.0,0.0,300.0,5.0
499000.0,2910.0,2910.0,2.5,0.0,0.0,4.0
501000.0,2070.0,1160.0,1.0,0.0,910.0,4.0
1090000.0,4340.0,4340.0,2.5,0.0,0.0,4.0
400000.0,840.0,840.0,1.0,0.0,0.0,2.0
220000.0,1240.0,1240.0,1.5,0.0,0.0,4.0
